account_id,label_kor
dart_AccruedIncomeMember,미수수익 [구성요소]
dart_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17EightYearsAfterAccidentYear,사고연도 8년후의 IFRS 17의 적용범위에 포함되는 계약에서 생기는 실제 보험금
dart_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17EndOfAccidentYear,사고연도의 IFRS 17의 적용범위에 포함되는 계약에서 생기는 실제 보험금
dart_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17FiveYearsAfterAccidentYear,사고연도 5년후의 IFRS 17의 적용범위에 포함되는 계약에서 생기는 실제 보험금
dart_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17FourYearsAfterAccidentYear,사고연도 4년후의 IFRS 17의 적용범위에 포함되는 계약에서 생기는 실제 보험금
dart_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17NineYearsAfterAccidentYear,사고연도 9년후의 IFRS 17의 적용범위에 포함되는 계약에서 생기는 실제 보험금
dart_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17OneYearAfterAccidentYear,사고연도 1년후의 IFRS 17의 적용범위에 포함되는 계약에서 생기는 실제 보험금
dart_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17SevenYearsAfterAccidentYear,사고연도 7년후의 IFRS 17의 적용범위에 포함되는 계약에서 생기는 실제 보험금
dart_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17SixYearsAfterAccidentYear,사고연도 6년후의 IFRS 17의 적용범위에 포함되는 계약에서 생기는 실제 보험금
dart_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17ThreeYearsAfterAccidentYear,사고연도 3년후의 IFRS 17의 적용범위에 포함되는 계약에서 생기는 실제 보험금
dart_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17TwoYearsAfterAccidentYear,사고연도 2년후의 IFRS 17의 적용범위에 포함되는 계약에서 생기는 실제 보험금
dart_AdditionDeferredLoanOriginationFeeCost,"신규발생에 따른 증가, 이연대출부대수익(비용)"
dart_AdditionReversalOfCreditLossFinancialAssets,"기대신용손실전(환)입, 금융자산"
dart_AdditionalImpairmentLossesOfFinancialAssets,신용손실충당금 전입액
dart_AdditionsToLeaseLiabilities,리스부채의 추가
dart_AdjustedProfitLossNetOfCapastropheReserve,비상위험준비금 반영후 조정이익
dart_AdjustedProfitLossNetOfGuaranteeReserve,보증준비금 반영후 조정이익
dart_AdjustedProfitLossNetOfRegulatoryReserve,감독목적상 적립금 전입(환입) 후 조정이익
dart_AdjustedProfitLossNetOfRegulatoryReserveForCreditLoss,대손준비금 반영후 조정이익(손실)
dart_AdjustedProfitLossNetOfSurrenderValueReserve,해약환급금준비금 반영후 조정이익
dart_AdjustedProfitLossPerShareNetOfRegulatoryReserve,감독목적상 적립금 전입(환입) 후 주당조정이익
dart_AdjustmentForDecreaseIncreaseInDueFromBanksAtAmortisedCost,상각후원가측정예치금의 감소(증가)
dart_AdjustmentForDecreaseIncreaseInLoansAtAmortisedCost,상각후원가측정대출채권의 감소(증가)
dart_AdjustmentsForAdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets,신용손실충당금 전입액 조정
dart_AdjustmentsForAmortisationDeferredAcquisitionCostsArisingFromInsuranceContracts,신계약비상각비
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산 부채의 변동
dart_AdjustmentsForBadDebtExpenses,대손상각비 조정
dart_AdjustmentsForBargainPurchaseGains,염가매수차익 조정
dart_AdjustmentsForDecreaseIncreaseInDeferredLoanOriginationFee,이연대출부대수익의 감소(증가)
dart_AdjustmentsForDecreaseIncreaseInDerivativeAssets,파생상품자산의 감소(증가)
dart_AdjustmentsForDecreaseIncreaseInDuefromBanks,예치금의 감소(증가)
dart_AdjustmentsForDecreaseIncreaseInFinanceLeaseReceivable,금융리스채권의 감소(증가)
dart_AdjustmentsForDecreaseIncreaseInFinancialAssetsAtAmortisedCostClassifiedAsOperatingActivities,상각후원가측정금융자산의 감소(증가) - 영업활동
dart_AdjustmentsForDecreaseIncreaseInFinancialAssetsAtFairValueThroughProfitOrLossClassifiedAsOperatingActivities,당기손익-공정가치측정금융자산의 감소(증가) - 영업활동
dart_AdjustmentsForDecreaseIncreaseInFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeClassifiedAsOperatingActivities,기타포괄손익-공정가치측정금융자산의 감소(증가) - 영업활동
dart_AdjustmentsForDecreaseIncreaseInLoans,대출채권의 감소(증가)
dart_AdjustmentsForDecreaseIncreaseInMiscellaneousReceivables,기타수취채권의 감소(증가)
dart_AdjustmentsForDecreaseIncreaseInReinsuranceContractsHeldThatAreAssets,재보험자산의 감소(증가)
dart_AdjustmentsForDecreaseincreaseInAccruedIncome,미수수익의 감소(증가)
dart_AdjustmentsForDecreaseincreaseInAdvancePayments,선급금의 감소(증가)
dart_AdjustmentsForDecreaseincreaseInFairValueOfPlanAssets,사외적립자산의공정가치의 감소(증가)
dart_AdjustmentsForDecreaseincreaseInOtherFinancialAssets,기타금융자산의 감소(증가)
dart_AdjustmentsForDecreaseincreaseInOtherReceivables,미수금의 감소(증가)
dart_AdjustmentsForDepreciationInvestmentProperty,투자부동산감가상각비 조정
dart_AdjustmentsForExpenseOfOtherProvisions,기타충당부채전입액
dart_AdjustmentsForExpenseOfProvisionForDecommissioningRestorationAndRehabilitationCosts,복구충당부채전입액 조정
dart_AdjustmentsForExpenseOfProvisions,충당부채전입액
dart_AdjustmentsForForeignExchangeGain,외화거래이익 조정
dart_AdjustmentsForForeignExchangeLoss,외화거래손실 조정
dart_AdjustmentsForGainFromLeaseContractChange,리스변경이익 조정
dart_AdjustmentsForGainLossOnDisposalsOfInvestmentProperty,투자부동산처분손익 조정
dart_AdjustmentsForGainLossOnForeignExchangeTranslations,외화환산손익 조정
dart_AdjustmentsForGainOnDisposalOfInvestmentsInAssociates,관계기업투자자산처분이익 조정
dart_AdjustmentsForGainOnDisposalOfInvestmentsInSubsidiaries,종속기업투자자산처분이익 조정
dart_AdjustmentsForGainOnDispositionOfTangibleAssets,유형자산처분이익 조정
